doi,URL,Volume,Publication Number,Article Type,Version Number,Submission date,Prepub Checks With Authors,Author Revisions Received,Sent To Typesetters,Pdf Proofs To Authors,Published,Referee Report 1,Referee Report 2,Referee Report 3,Referee Report 4,Indexed,Referee Status,Article Length
10.12688/wellcomeopenres.10284.2,https://wellcomeopenresearch.org/articles/1-27/v2,1,27,RESEARCH_ARTICLE,2,26/01/2017,27/01/2017,NA,30/01/2017,31/01/2017,13/03/2017,23/12/2016,30/12/2016,03/01/2017,31/01/2017,03/01/2017,"A3, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.9991.1,https://wellcomeopenresearch.org/articles/2-17/v1,2,17,RESEARCH_ARTICLE,1,24/10/2016,27/10/2016,NA,24/01/2017,25/01/2017,13/03/2017,14/03/2017,20/03/2017,21/03/2017,27/03/2017,20/03/2017,"A4, AR0, NA0",NA
10.12688/wellcomeopenres.11005.1,https://wellcomeopenresearch.org/articles/2-18/v1,2,18,METHOD_ARTICLE,1,17/02/2017,21/02/2017,28/02/2017,NA,03/03/2017,14/03/2017,27/03/2017,29/03/2017,30/03/2017,05/04/2017,29/03/2017,"A5, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10690.1,https://wellcomeopenresearch.org/articles/2-12/v1,2,12,RESEARCH_ARTICLE,1,24/01/2017,26/01/2017,31/01/2017,03/02/2017,08/02/2017,15/02/2017,27/02/2017,03/03/2017,04/04/2017,18/04/2017,18/04/2017,"A1, AR3, NA0",WC_2500_8000
10.12688/wellcomeopenres.10507.2,https://wellcomeopenresearch.org/articles/2-2/v2,2,2,RESEARCH_ARTICLE,2,11/02/2017,NA,NA,16/02/2017,17/02/2017,21/02/2017,16/01/2017,16/01/2017,19/01/2017,24/01/2017,19/01/2017,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10213.2,https://wellcomeopenresearch.org/articles/1-28/v2,1,28,RESEARCH_ARTICLE,2,22/02/2017,NA,NA,24/02/2017,27/02/2017,03/03/2017,19/12/2016,30/01/2017,NA,NA,30/01/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11033.1,https://wellcomeopenresearch.org/articles/2-16/v1,2,16,RESEARCH_ARTICLE,1,23/02/2017,27/02/2017,NA,06/03/2017,09/03/2017,10/03/2017,27/04/2017,20/06/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.10985.1,https://wellcomeopenresearch.org/articles/2-20/v1,2,20,RESEARCH_ARTICLE,1,15/02/2017,20/02/2017,14/03/2017,14/03/2017,16/03/2017,17/03/2017,05/04/2017,06/04/2017,19/04/2017,NA,19/04/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10722.1,https://wellcomeopenresearch.org/articles/2-7/v1,2,7,RESEARCH_ARTICLE,1,18/01/2017,20/01/2017,NA,31/01/2017,31/01/2017,02/02/2017,22/02/2017,23/02/2017,28/02/2017,NA,23/02/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12261.1,https://wellcomeopenresearch.org/articles/2-62/v1,2,62,STUDY_PROTOCOL,1,31/07/2017,02/08/2017,NA,07/08/2017,08/08/2017,10/08/2017,14/08/2017,23/08/2017,NA,NA,23/08/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12237.1,https://wellcomeopenresearch.org/articles/2-84/v1,2,84,RESEARCH_ARTICLE,1,27/07/2017,31/07/2017,04/09/2017,11/09/2017,12/09/2017,13/09/2017,19/09/2017,25/09/2017,16/10/2017,NA,16/10/2017,"A1, AR2, NA0",WC_1000_2500
10.12688/wellcomeopenres.10005.2,https://wellcomeopenresearch.org/articles/1-7/v2,1,7,STUDY_PROTOCOL,2,18/01/2017,NA,NA,20/01/2017,23/01/2017,26/01/2017,21/12/2016,23/12/2016,16/01/2017,NA,23/12/2016,"A3, AR0, NA0",WC_OVER_8000
10.12688/wellcomeopenres.10662.1,https://wellcomeopenresearch.org/articles/2-8/v1,2,8,RESEARCH_NOTE,1,10/01/2017,12/01/2017,NA,19/01/2017,20/01/2017,09/02/2017,20/02/2017,27/02/2017,NA,NA,27/02/2017,"A2, AR0, NA0",NA
10.12688/wellcomeopenres.12288.1,https://wellcomeopenresearch.org/articles/2-68/v1,2,68,RESEARCH_ARTICLE,1,09/08/2017,14/08/2017,15/08/2017,17/08/2017,21/08/2017,22/08/2017,01/09/2017,15/09/2017,18/09/2017,NA,18/09/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12246.1,https://wellcomeopenresearch.org/articles/2-71/v1,2,71,RESEARCH_ARTICLE,1,25/07/2017,26/07/2017,11/08/2017,17/08/2017,22/08/2017,24/08/2017,18/09/2017,29/09/2017,NA,NA,29/09/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.12256.1,https://wellcomeopenresearch.org/articles/2-70/v1,2,70,OPEN_LETTER,1,08/08/2017,11/08/2017,16/08/2017,17/08/2017,21/08/2017,24/08/2017,29/08/2017,02/10/2017,NA,NA,02/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12445.1,https://wellcomeopenresearch.org/articles/2-73/v1,2,73,RESEARCH_NOTE,1,16/08/2017,22/08/2017,NA,25/08/2017,29/08/2017,30/08/2017,04/09/2017,23/10/2017,NA,NA,NA,"A1, AR1, NA0",WC_1000_2500
10.12688/wellcomeopenres.12530.1,https://wellcomeopenresearch.org/articles/2-77/v1,2,77,RESEARCH_ARTICLE,1,25/08/2017,29/08/2017,NA,30/08/2017,31/08/2017,04/09/2017,16/10/2017,20/10/2017,NA,NA,NA,"A0, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.12240.1,https://wellcomeopenresearch.org/articles/2-81/v1,2,81,RESEARCH_ARTICLE,1,02/08/2017,04/08/2017,15/08/2017,17/08/2017,21/08/2017,06/09/2017,27/09/2017,09/10/2017,NA,NA,09/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11764.2,https://wellcomeopenresearch.org/articles/2-36/v2,2,36,RESEARCH_ARTICLE,2,28/09/2017,NA,NA,06/10/2017,09/10/2017,09/10/2017,06/06/2017,26/06/2017,NA,NA,17/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10269.2,https://wellcomeopenresearch.org/articles/1-22/v2,1,22,RESEARCH_NOTE,2,14/02/2017,NA,NA,16/02/2017,17/02/2017,21/02/2017,08/12/2016,16/01/2017,NA,NA,16/01/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.9935.2,https://wellcomeopenresearch.org/articles/1-3/v2,1,3,RESEARCH_NOTE,2,26/01/2017,NA,NA,10/02/2017,13/02/2017,17/02/2017,28/11/2016,09/12/2016,NA,NA,17/02/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11300.3,https://wellcomeopenresearch.org/articles/2-28/v3,2,28,RESEARCH_ARTICLE,3,04/10/2017,NA,NA,04/10/2017,NA,05/10/2017,06/06/2017,13/06/2017,NA,NA,26/07/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10658.1,https://wellcomeopenresearch.org/articles/2-13/v1,2,13,SYSTEMATIC_REVIEW,1,21/01/2017,25/01/2017,13/02/2017,16/02/2017,17/02/2017,20/02/2017,29/03/2017,11/05/2017,NA,NA,05/06/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11589.2,https://wellcomeopenresearch.org/articles/2-83/v2,2,83,RESEARCH_ARTICLE,2,11/10/2017,NA,NA,11/10/2017,12/10/2017,13/10/2017,20/09/2017,25/09/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.10942.1,https://wellcomeopenresearch.org/articles/2-15/v1,2,15,OPEN_LETTER,1,11/02/2017,13/02/2017,17/02/2017,21/02/2017,22/02/2017,24/02/2017,06/03/2017,09/03/2017,NA,NA,09/03/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.9899.2,https://wellcomeopenresearch.org/articles/1-1/v2,1,1,RESEARCH_ARTICLE,2,06/02/2017,NA,NA,10/02/2017,14/02/2017,27/02/2017,05/12/2016,08/12/2016,12/12/2016,NA,12/12/2016,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12176.2,https://wellcomeopenresearch.org/articles/2-60/v2,2,60,RESEARCH_ARTICLE,2,13/10/2017,NA,NA,16/10/2017,17/10/2017,17/10/2017,29/08/2017,09/10/2017,NA,NA,27/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10535.1,https://wellcomeopenresearch.org/articles/2-14/v1,2,14,RESEARCH_ARTICLE,1,23/12/2016,30/12/2016,NA,08/02/2017,10/02/2017,24/02/2017,10/03/2017,10/04/2017,NA,NA,NA,"A0, AR0, NA2",WC_2500_8000
10.12688/wellcomeopenres.10646.1,https://wellcomeopenresearch.org/articles/2-9/v1,2,9,RESEARCH_ARTICLE,1,09/01/2017,12/01/2017,NA,02/02/2017,03/02/2017,10/02/2017,27/02/2017,02/05/2017,NA,NA,02/05/2017,"A2, AR0, NA0",NA
10.12688/wellcomeopenres.12469.1,https://wellcomeopenresearch.org/articles/2-87/v1,2,87,RESEARCH_ARTICLE,1,26/08/2017,29/08/2017,NA,18/09/2017,19/09/2017,22/09/2017,12/10/2017,16/10/2017,01/11/2017,NA,16/10/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.10784.1,https://wellcomeopenresearch.org/articles/2-10/v1,2,10,RESEARCH_ARTICLE,1,26/01/2017,30/01/2017,NA,10/02/2017,13/02/2017,14/02/2017,29/03/2017,11/04/2017,18/04/2017,19/06/2017,11/04/2017,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12431.1,https://wellcomeopenresearch.org/articles/2-76/v1,2,76,RESEARCH_NOTE,1,15/08/2017,17/08/2017,NA,22/08/2017,23/08/2017,31/08/2017,19/09/2017,02/10/2017,12/10/2017,NA,12/10/2017,"A2, AR0, NA1",WC_1000_2500
10.12688/wellcomeopenres.11854.1,https://wellcomeopenresearch.org/articles/2-75/v1,2,75,CASE_REPORT,1,04/06/2017,07/06/2017,11/07/2017,22/08/2017,23/08/2017,31/08/2017,26/09/2017,19/10/2017,NA,NA,19/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12527.1,https://wellcomeopenresearch.org/articles/2-92/v1,2,92,RESEARCH_ARTICLE,1,07/09/2017,11/09/2017,15/09/2017,18/09/2017,20/09/2017,26/09/2017,11/10/2017,16/10/2017,16/10/2017,NA,16/10/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10567.1,https://wellcomeopenresearch.org/articles/2-11/v1,2,11,RESEARCH_ARTICLE,1,23/12/2016,24/01/2017,31/01/2017,01/02/2017,02/02/2017,14/02/2017,13/03/2017,20/03/2017,21/03/2017,22/03/2017,20/03/2017,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12053.1,https://wellcomeopenresearch.org/articles/2-86/v1,2,86,RESEARCH_ARTICLE,1,28/07/2017,01/08/2017,22/08/2017,24/08/2017,29/08/2017,19/09/2017,06/10/2017,09/10/2017,NA,NA,09/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12478.1,https://wellcomeopenresearch.org/articles/2-89/v1,2,89,STUDY_PROTOCOL,1,20/08/2017,24/08/2017,NA,12/09/2017,14/09/2017,25/09/2017,16/10/2017,NA,NA,NA,NA,"A0, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12594.1,https://wellcomeopenresearch.org/articles/2-95/v1,2,95,RESEARCH_ARTICLE,1,02/09/2017,06/09/2017,20/09/2017,25/09/2017,26/09/2017,29/09/2017,05/10/2017,06/10/2017,13/10/2017,NA,13/10/2017,"A1, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.12133.2,https://wellcomeopenresearch.org/articles/2-55/v2,2,55,RESEARCH_ARTICLE,2,13/10/2017,NA,NA,17/10/2017,23/10/2017,24/10/2017,25/07/2017,28/09/2017,02/10/2017,NA,27/10/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12600.1,https://wellcomeopenresearch.org/articles/2-85/v1,2,85,DATA_NOTE,1,04/09/2017,07/09/2017,NA,14/09/2017,15/09/2017,18/09/2017,02/10/2017,11/10/2017,16/10/2017,NA,16/10/2017,"A2, AR1, NA0",WC_1000_2500
10.12688/wellcomeopenres.12280.1,https://wellcomeopenresearch.org/articles/2-93/v1,2,93,RESEARCH_ARTICLE,1,28/07/2017,03/08/2017,NA,18/09/2017,21/09/2017,27/09/2017,16/10/2017,26/10/2017,NA,NA,NA,"A1, AR1, NA0",WC_OVER_8000
10.12688/wellcomeopenres.11589.1,https://wellcomeopenresearch.org/articles/2-83/v1,2,83,RESEARCH_ARTICLE,1,20/08/2017,21/08/2017,25/08/2017,11/09/2017,11/09/2017,12/09/2017,20/09/2017,25/09/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.10501.2,https://wellcomeopenresearch.org/articles/2-6/v2,2,6,SOFTWARE_TOOLS,2,13/03/2017,NA,NA,14/03/2017,NA,17/03/2017,31/01/2017,09/02/2017,17/02/2017,NA,17/02/2017,"A3, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11253.1,https://wellcomeopenresearch.org/articles/2-25/v1,2,25,RESEARCH_ARTICLE,1,22/03/2017,24/03/2017,NA,31/03/2017,04/04/2017,07/04/2017,19/04/2017,20/04/2017,24/04/2017,02/05/2017,20/04/2017,"A4, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12058.1,https://wellcomeopenresearch.org/articles/2-82/v1,2,82,RESEARCH_ARTICLE,1,10/07/2017,14/07/2017,11/08/2017,14/08/2017,16/08/2017,07/09/2017,21/09/2017,26/09/2017,20/10/2017,NA,20/10/2017,"A1, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.11228.2,https://wellcomeopenresearch.org/articles/2-29/v2,2,29,RESEARCH_ARTICLE,2,29/08/2017,NA,NA,31/08/2017,01/09/2017,05/09/2017,19/06/2017,06/07/2017,NA,NA,06/07/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12429.1,https://wellcomeopenresearch.org/articles/2-80/v1,2,80,RESEARCH_ARTICLE,1,15/08/2017,17/08/2017,22/08/2017,29/08/2017,30/08/2017,05/09/2017,NA,NA,NA,NA,NA,"A0, AR0, NA0",NA
10.12688/wellcomeopenres.10298.2,https://wellcomeopenresearch.org/articles/1-23/v2,1,23,METHOD_ARTICLE,2,06/03/2017,NA,NA,09/03/2017,13/03/2017,17/03/2017,20/01/2017,19/04/2017,10/05/2017,NA,10/05/2017,"A1, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.12338.1,https://wellcomeopenresearch.org/articles/2-72/v1,2,72,RESEARCH_ARTICLE,1,07/08/2017,10/08/2017,14/08/2017,22/08/2017,23/08/2017,24/08/2017,04/09/2017,25/09/2017,NA,NA,13/11/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11910.1,https://wellcomeopenresearch.org/articles/2-50/v1,2,50,RESEARCH_ARTICLE,1,21/06/2017,22/06/2017,NA,13/07/2017,14/07/2017,17/07/2017,28/07/2017,17/08/2017,01/09/2017,NA,01/09/2017,"A1, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.11805.1,https://wellcomeopenresearch.org/articles/2-48/v1,2,48,RESEARCH_ARTICLE,1,14/06/2017,15/06/2017,NA,29/06/2017,30/06/2017,04/07/2017,08/08/2017,11/09/2017,NA,NA,09/11/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11805.2,https://wellcomeopenresearch.org/articles/2-48/v2,2,48,RESEARCH_ARTICLE,2,29/10/2017,NA,NA,01/11/2017,06/11/2017,07/11/2017,08/08/2017,11/09/2017,NA,NA,09/11/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12052.1,https://wellcomeopenresearch.org/articles/2-53/v1,2,53,RESEARCH_ARTICLE,1,29/06/2017,04/07/2017,NA,13/07/2017,14/07/2017,21/07/2017,25/09/2017,18/10/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11386.1,https://wellcomeopenresearch.org/articles/2-97/v1,2,97,RESEARCH_ARTICLE,1,07/04/2017,11/04/2017,12/05/2017,16/05/2017,18/05/2017,05/10/2017,16/10/2017,31/10/2017,NA,NA,NA,"A0, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.9991.2,https://wellcomeopenresearch.org/articles/2-17/v2,2,17,RESEARCH_ARTICLE,2,06/04/2017,NA,NA,NA,06/04/2017,10/04/2017,14/03/2017,20/03/2017,21/03/2017,27/03/2017,20/03/2017,"A4, AR0, NA0",NA
10.12688/wellcomeopenres.11330.1,https://wellcomeopenresearch.org/articles/2-27/v1,2,27,RESEARCH_ARTICLE,1,31/03/2017,04/04/2017,NA,06/04/2017,07/04/2017,13/04/2017,03/05/2017,11/05/2017,16/05/2017,NA,11/05/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11135.1,https://wellcomeopenresearch.org/articles/2-26/v1,2,26,RESEARCH_ARTICLE,1,14/03/2017,16/03/2017,27/03/2017,28/03/2017,31/03/2017,07/04/2017,24/04/2017,08/05/2017,19/06/2017,NA,08/05/2017,"A3, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11275.1,https://wellcomeopenresearch.org/articles/2-24/v1,2,24,SOFTWARE_TOOLS,1,24/03/2017,27/03/2017,29/03/2017,30/03/2017,31/03/2017,07/04/2017,02/05/2017,10/05/2017,NA,NA,10/05/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11246.1,https://wellcomeopenresearch.org/articles/2-23/v1,2,23,RESEARCH_ARTICLE,1,26/03/2017,28/03/2017,04/04/2017,04/04/2017,05/04/2017,06/04/2017,21/04/2017,09/05/2017,NA,NA,09/05/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11300.1,https://wellcomeopenresearch.org/articles/2-28/v1,2,28,RESEARCH_ARTICLE,1,28/03/2017,30/03/2017,NA,11/04/2017,12/04/2017,18/04/2017,06/06/2017,13/06/2017,NA,NA,26/07/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11073.1,https://wellcomeopenresearch.org/articles/2-22/v1,2,22,RESEARCH_ARTICLE,1,22/03/2017,23/03/2017,27/03/2017,28/03/2017,29/03/2017,30/03/2017,25/04/2017,02/05/2017,18/05/2017,02/06/2017,NA,"A0, AR4, NA0",WC_2500_8000
10.12688/wellcomeopenres.9892.2,https://wellcomeopenresearch.org/articles/1-2/v2,1,2,METHOD_ARTICLE,2,10/04/2017,NA,NA,12/04/2017,13/04/2017,24/04/2017,22/11/2016,01/12/2016,06/12/2016,09/12/2016,01/12/2016,"A4, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11190.2,https://wellcomeopenresearch.org/articles/2-21/v2,2,21,RESEARCH_ARTICLE,2,03/10/2017,NA,NA,26/10/2017,30/10/2017,31/10/2017,27/04/2017,30/05/2017,NA,NA,NA,"A0, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.12357.3,https://wellcomeopenresearch.org/articles/2-66/v3,2,66,SYSTEMATIC_REVIEW,3,23/10/2017,NA,NA,23/10/2017,26/10/2017,27/10/2017,21/08/2017,04/09/2017,NA,NA,20/10/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12483.1,https://wellcomeopenresearch.org/articles/2-78/v1,2,78,RESEARCH_ARTICLE,1,20/08/2017,23/08/2017,NA,30/08/2017,31/08/2017,04/09/2017,13/09/2017,15/09/2017,01/11/2017,06/11/2017,01/11/2017,"A3, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12038.2,https://wellcomeopenresearch.org/articles/2-64/v2,2,64,RESEARCH_ARTICLE,2,29/10/2017,NA,NA,30/10/2017,01/11/2017,01/11/2017,04/09/2017,05/10/2017,NA,NA,05/10/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.12038.1,https://wellcomeopenresearch.org/articles/2-64/v1,2,64,RESEARCH_ARTICLE,1,27/06/2017,19/07/2017,14/08/2017,15/08/2017,17/08/2017,17/08/2017,04/09/2017,05/10/2017,NA,NA,05/10/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.12468.1,https://wellcomeopenresearch.org/articles/2-90/v1,2,90,RESEARCH_ARTICLE,1,30/08/2017,01/09/2017,NA,19/09/2017,21/09/2017,26/09/2017,06/10/2017,11/10/2017,02/11/2017,NA,02/11/2017,"A2, AR0, NA1",WC_2500_8000
10.12688/wellcomeopenres.11228.1,https://wellcomeopenresearch.org/articles/2-29/v1,2,29,RESEARCH_ARTICLE,1,20/03/2017,22/03/2017,28/03/2017,31/03/2017,03/04/2017,20/04/2017,19/06/2017,06/07/2017,NA,NA,06/07/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.9945.2,https://wellcomeopenresearch.org/articles/1-6/v2,1,6,SOFTWARE_TOOLS,2,27/02/2017,NA,NA,01/03/2017,03/03/2017,13/03/2017,28/11/2016,30/11/2016,NA,NA,30/11/2016,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12338.2,https://wellcomeopenresearch.org/articles/2-72/v2,2,72,RESEARCH_ARTICLE,2,23/10/2017,NA,NA,24/10/2017,30/10/2017,02/11/2017,04/09/2017,25/09/2017,NA,NA,13/11/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11190.1,https://wellcomeopenresearch.org/articles/2-21/v1,2,21,RESEARCH_ARTICLE,1,15/03/2017,17/03/2017,NA,20/03/2017,22/03/2017,28/03/2017,27/04/2017,30/05/2017,NA,NA,NA,"A0, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.12631.1,https://wellcomeopenresearch.org/articles/2-106/v1,2,106,RESEARCH_ARTICLE,1,08/09/2017,12/09/2017,06/10/2017,11/10/2017,11/10/2017,02/11/2017,13/11/2017,NA,NA,NA,NA,"A1, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.11891.1,https://wellcomeopenresearch.org/articles/2-69/v1,2,69,RESEARCH_ARTICLE,1,09/06/2017,12/06/2017,24/07/2017,01/08/2017,03/08/2017,22/08/2017,09/10/2017,13/11/2017,NA,NA,13/11/2017,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12942.1,https://wellcomeopenresearch.org/articles/2-109/v1,2,109,RESEARCH_ARTICLE,1,14/10/2017,18/10/2017,NA,07/11/2017,08/11/2017,10/11/2017,NA,NA,NA,NA,NA,"A0, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.11958.2,https://wellcomeopenresearch.org/articles/2-47/v2,2,47,RESEARCH_ARTICLE,2,21/09/2017,NA,NA,22/09/2017,25/09/2017,26/09/2017,07/07/2017,14/08/2017,NA,NA,10/11/2017,"A2, AR0, NA0",WC_1000_2500
10.12688/wellcomeopenres.12523.1,https://wellcomeopenresearch.org/articles/2-91/v1,2,91,RESEARCH_ARTICLE,1,07/09/2017,11/09/2017,18/09/2017,18/09/2017,19/09/2017,26/09/2017,16/10/2017,18/10/2017,10/11/2017,NA,10/11/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12458.1,https://wellcomeopenresearch.org/articles/2-88/v1,2,88,RESEARCH_ARTICLE,1,30/08/2017,31/08/2017,NA,13/09/2017,15/09/2017,22/09/2017,28/09/2017,20/10/2017,15/11/2017,NA,15/11/2017,"A1, AR2, NA0",NA
10.12688/wellcomeopenres.12747.1,https://wellcomeopenresearch.org/articles/2-100/v1,2,100,STUDY_PROTOCOL,1,22/09/2017,26/09/2017,28/09/2017,03/10/2017,06/10/2017,11/10/2017,23/10/2017,30/10/2017,NA,NA,NA,"A1, AR1, NA0",WC_OVER_8000
10.12688/wellcomeopenres.11466.1,https://wellcomeopenresearch.org/articles/2-37/v1,2,37,STUDY_PROTOCOL,1,27/04/2017,02/05/2017,NA,17/05/2017,18/05/2017,06/06/2017,26/06/2017,27/06/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.10210.2,https://wellcomeopenresearch.org/articles/1-25/v2,1,25,SOFTWARE_TOOLS,2,04/07/2017,NA,NA,05/07/2017,06/07/2017,10/07/2017,13/01/2017,17/01/2017,18/07/2017,NA,18/07/2017,"A2, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.11728.1,https://wellcomeopenresearch.org/articles/2-43/v1,2,43,METHOD_ARTICLE,1,23/05/2017,24/05/2017,NA,30/05/2017,01/06/2017,19/06/2017,24/07/2017,24/10/2017,16/11/2017,17/11/2017,NA,"A0, AR4, NA0",WC_2500_8000
10.12688/wellcomeopenres.12783.1,https://wellcomeopenresearch.org/articles/2-101/v1,2,101,SYSTEMATIC_REVIEW,1,04/10/2017,06/10/2017,09/10/2017,10/10/2017,12/10/2017,17/10/2017,20/11/2017,20/11/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.9945.1,https://wellcomeopenresearch.org/articles/1-6/v1,1,6,SOFTWARE_TOOLS,1,19/10/2016,21/10/2016,NA,27/10/2016,31/10/2016,15/11/2016,28/11/2016,30/11/2016,NA,NA,30/11/2016,"A2, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12928.1,https://wellcomeopenresearch.org/articles/2-102/v1,2,102,RESEARCH_ARTICLE,1,12/10/2017,16/10/2017,NA,19/10/2017,23/10/2017,24/10/2017,20/11/2017,NA,NA,NA,NA,"A0, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12656.1,https://wellcomeopenresearch.org/articles/2-94/v1,2,94,RESEARCH_ARTICLE,1,08/09/2017,12/09/2017,NA,18/09/2017,21/09/2017,28/09/2017,08/11/2017,NA,NA,NA,NA,"A1, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12621.1,https://wellcomeopenresearch.org/articles/2-103/v1,2,103,RESEARCH_ARTICLE,1,08/09/2017,13/09/2017,06/10/2017,17/10/2017,23/10/2017,24/10/2017,20/11/2017,NA,NA,NA,NA,"A1, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.10298.1,https://wellcomeopenresearch.org/articles/1-23/v1,1,23,METHOD_ARTICLE,1,20/11/2016,22/11/2016,NA,28/11/2016,30/11/2016,09/12/2016,20/01/2017,19/04/2017,10/05/2017,NA,10/05/2017,"A1, AR2, NA0",WC_2500_8000
10.12688/wellcomeopenres.11033.2,https://wellcomeopenresearch.org/articles/2-16/v2,2,16,RESEARCH_ARTICLE,2,12/11/2017,NA,NA,13/11/2017,15/11/2017,NA,27/04/2017,20/06/2017,NA,NA,NA,"A1, AR1, NA0",WC_2500_8000
10.12688/wellcomeopenres.12741.1,https://wellcomeopenresearch.org/articles/2-98/v1,2,98,STUDY_PROTOCOL,1,21/09/2017,25/09/2017,27/09/2017,28/09/2017,02/10/2017,09/10/2017,23/10/2017,NA,NA,NA,NA,"A1, AR0, NA0",WC_2500_8000
10.12688/wellcomeopenres.12445.2,https://wellcomeopenresearch.org/articles/2-73/v2,2,73,RESEARCH_NOTE,2,17/11/2017,NA,NA,20/11/2017,NA,NA,04/09/2017,23/10/2017,NA,NA,NA,"A1, AR1, NA0",WC_1000_2500
